task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
english-german,translation,1,0.364,0.0,0.7533333333333333,0.42,0.0,0.8666666666666667,0.4831858407079646,0.97536,3.2
english-german,translation,2,0.528,0.0,0.7533333333333333,0.42,0.0,1.2571428571428573,0.7008849557522124,0.9498800000000001,3.0
english-german,translation,4,0.15999999999999998,0.0,0.7533333333333333,0.42,0.0,0.38095238095238093,0.21238938053097342,0.70638,3.2
english-spanish,translation,1,0.344,0.0,0.8933333333333334,0.68,0.0,0.5058823529411763,0.38507462686567157,0.9813599999999999,3.0
english-spanish,translation,2,0.68,0.0,0.8933333333333334,0.68,0.0,1.0,0.7611940298507462,0.92668,3.6
english-spanish,translation,4,0.616,0.0,0.8933333333333334,0.68,0.0,0.9058823529411764,0.68955223880597,0.6768799999999999,3.4
fruit-from-list,selection,1,0.11200000000000002,0.0,0.98,0.04,0.0,,0.11428571428571431,0.9493,4.2
fruit-from-list,selection,2,0.42000000000000004,0.0,0.98,0.04,0.0,,0.4285714285714286,0.8530199999999999,4.4
fruit-from-list,selection,4,0.4640000000000001,0.0,0.98,0.04,0.0,,0.4734693877551021,0.77532,4.2
landmark-country,knowledge,1,0.268,0.0,0.8866666666666667,0.6,0.0,0.4466666666666667,0.3022556390977444,0.9805399999999999,3.2
landmark-country,knowledge,2,0.5840000000000001,0.0,0.8866666666666667,0.6,0.0,0.9733333333333335,0.6586466165413535,0.9393999999999998,3.2
landmark-country,knowledge,4,0.4600000000000001,0.0,0.8866666666666667,0.6,0.0,0.7666666666666668,0.518796992481203,0.6892800000000001,4.6
lowercase-first-letter,linguistic,1,0.344,0.02,0.9933333333333333,0.72,0.02,0.4628571428571428,0.3328767123287671,0.96364,3.6
lowercase-first-letter,linguistic,2,0.532,0.02,0.9933333333333333,0.72,0.02,0.7314285714285715,0.526027397260274,0.89986,4.2
lowercase-first-letter,linguistic,4,0.712,0.02,0.9933333333333333,0.72,0.02,0.9885714285714285,0.7109589041095891,0.57144,4.0
next-capital-letter,algorithmic,1,0.004,0.0,0.07333333333333335,0.0,0.0,,0.054545454545454536,0.9654,4.8
next-capital-letter,algorithmic,2,0.027999999999999997,0.0,0.07333333333333335,0.0,0.0,,0.3818181818181817,0.90496,4.8
next-capital-letter,algorithmic,4,0.0,0.0,0.07333333333333335,0.0,0.0,,0.0,0.7133,4.2
next-item,algorithmic,1,0.052000000000000005,0.0,0.9466666666666667,0.92,0.0,0.05652173913043478,0.054929577464788736,0.94018,3.6
next-item,algorithmic,2,0.2,0.0,0.9466666666666667,0.92,0.0,0.21739130434782608,0.21126760563380284,0.9262,2.6
next-item,algorithmic,4,0.396,0.0,0.9466666666666667,0.92,0.0,0.43043478260869567,0.4183098591549296,0.7289999999999999,3.8
park-country,knowledge,1,0.18,0.0,0.8333333333333334,0.8,0.02,0.22499999999999998,0.21599999999999997,0.9814399999999999,2.6
park-country,knowledge,2,0.756,0.0,0.8333333333333334,0.8,0.02,0.945,0.9072,0.9493,2.8
park-country,knowledge,4,0.708,0.0,0.8333333333333334,0.8,0.02,0.8849999999999999,0.8495999999999999,0.6925800000000001,4.8
person-instrument,knowledge,1,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.9898000000000001,2.8
person-instrument,knowledge,2,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.9869199999999999,2.6
person-instrument,knowledge,4,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.83454,3.6
person-occupation,knowledge,1,0.016,0.0,0.5866666666666668,0.04,0.0,,0.027272727272727268,0.99102,2.8
person-occupation,knowledge,2,0.0,0.0,0.5866666666666668,0.04,0.0,,0.0,0.9842000000000001,3.0
person-occupation,knowledge,4,0.008,0.0,0.5866666666666668,0.04,0.0,,0.013636363636363634,0.75796,4.8
person-sport,knowledge,1,0.024,0.0,0.9666666666666667,0.4,0.0,0.06,0.02482758620689655,0.98206,3.2
person-sport,knowledge,2,0.008,0.0,0.9666666666666667,0.4,0.0,0.02,0.008275862068965517,0.97022,2.8
person-sport,knowledge,4,0.0,0.0,0.9666666666666667,0.4,0.0,0.0,0.0,0.7027599999999999,4.4
present-past,linguistic,1,0.6359999999999999,0.0,0.9933333333333333,0.88,0.0,0.7227272727272727,0.6402684563758388,0.92696,4.0
present-past,linguistic,2,0.808,0.0,0.9933333333333333,0.88,0.0,0.9181818181818182,0.8134228187919464,0.9138,3.8
present-past,linguistic,4,0.8960000000000001,0.0,0.9933333333333333,0.88,0.0,1.0181818181818183,0.9020134228187922,0.7552,4.4
prev-item,algorithmic,1,0.004,0.0,0.9066666666666667,0.82,0.0,0.004878048780487805,0.004411764705882353,0.9313,4.0
prev-item,algorithmic,2,0.148,0.0,0.9066666666666667,0.82,0.0,0.18048780487804877,0.16323529411764703,0.92782,4.2
prev-item,algorithmic,4,0.348,0.0,0.9066666666666667,0.82,0.0,0.424390243902439,0.3838235294117647,0.74068,4.4
product-company,knowledge,1,0.12000000000000002,0.02,0.9266666666666667,0.58,0.02,0.17857142857142863,0.11029411764705883,0.9905200000000001,2.4
product-company,knowledge,2,0.33199999999999996,0.02,0.9266666666666667,0.58,0.02,0.557142857142857,0.3441176470588234,0.9888800000000002,2.6
product-company,knowledge,4,0.344,0.02,0.9266666666666667,0.58,0.02,0.5785714285714285,0.35735294117647054,0.8870800000000001,4.8
singular-plural,linguistic,1,0.42800000000000005,0.04,0.9733333333333333,0.94,0.02,0.4311111111111112,0.4157142857142858,0.97606,4.2
singular-plural,linguistic,2,0.9359999999999999,0.04,0.9733333333333333,0.94,0.02,0.9955555555555555,0.96,0.94452,4.2
singular-plural,linguistic,4,0.9480000000000001,0.04,0.9733333333333333,0.94,0.02,1.008888888888889,0.972857142857143,0.72016,3.8
synonym,linguistic,1,0.284,0.32,0.5866666666666667,0.54,0.36,-0.16363636363636375,-0.13500000000000012,0.9827999999999999,4.4
synonym,linguistic,2,0.36,0.32,0.5866666666666667,0.54,0.36,0.1818181818181817,0.14999999999999994,0.96236,3.0
synonym,linguistic,4,0.484,0.32,0.5866666666666667,0.54,0.36,0.7454545454545453,0.6149999999999999,0.8747400000000001,4.6
verb-from-list,selection,1,0.22000000000000003,0.1,0.94,0.6,0.1,0.24000000000000005,0.14285714285714288,0.9731799999999999,3.4
verb-from-list,selection,2,0.28,0.1,0.94,0.6,0.1,0.36000000000000004,0.21428571428571433,0.90772,4.6
verb-from-list,selection,4,0.22799999999999998,0.1,0.94,0.6,0.1,0.25599999999999995,0.15238095238095237,0.8509800000000001,4.6
word-length,algorithmic,1,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9763999999999999,3.8
word-length,algorithmic,2,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.96492,4.0
word-length,algorithmic,4,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9210800000000001,3.8
