size,draw,task,seed,acc,eps,support_size
5,4,english-french,1,0.0,0.8543,5
10,0,english-french,0,0.48,0.7762,5
10,0,english-french,1,0.28,0.7126,4
10,1,english-french,0,0.2,0.7133,5
10,1,english-french,1,0.08,0.7008,4
10,2,english-french,0,0.4,0.6682,5
10,2,english-french,1,0.04,0.6436,4
10,3,english-french,0,0.0,0.9477,5
10,3,english-french,1,0.0,0.8991,5
10,4,english-french,0,0.04,0.7444,5
10,4,english-french,1,0.0,0.721,4
20,0,english-french,0,0.32,0.7684,4
20,0,english-french,1,0.12,0.7478,4
20,1,english-french,0,0.56,0.7404,5
20,1,english-french,1,0.08,0.7032,3
20,2,english-french,0,0.44,0.7288,4
20,2,english-french,1,0.04,0.6881,5
20,3,english-french,0,0.44,0.7365,2
20,3,english-french,1,0.16,0.6803,2
20,4,english-french,0,0.28,0.6793,4
20,4,english-french,1,0.2,0.6727,4
30,0,english-french,0,0.28,0.6928,3
30,0,english-french,1,0.08,0.6447,3
30,1,english-french,0,0.52,0.7658,3
30,1,english-french,1,0.12,0.6952,5
30,2,english-french,0,0.56,0.7849,4
30,2,english-french,1,0.12,0.7292,4
30,3,english-french,0,0.56,0.7453,3
30,3,english-french,1,0.08,0.6691,4
30,4,english-french,0,0.4,0.7566,5
30,4,english-french,1,0.04,0.7218,4
40,0,english-french,0,0.48,0.7405,3
40,0,english-french,1,0.04,0.6693,5
40,1,english-french,0,0.48,0.7339,5
40,1,english-french,1,0.12,0.682,5
40,2,english-french,0,0.48,0.73,5
40,2,english-french,1,0.04,0.6967,4
40,3,english-french,0,0.56,0.7628,4
40,3,english-french,1,0.04,0.7069,4
40,4,english-french,0,0.6,0.7472,3
40,4,english-french,1,0.08,0.6874,3
46,0,english-french,0,0.52,0.7399,4
46,0,english-french,1,0.04,0.6809,4
46,1,english-french,0,0.52,0.7399,4
46,1,english-french,1,0.04,0.6809,4
46,2,english-french,0,0.52,0.7399,4
46,2,english-french,1,0.04,0.6809,4
46,3,english-french,0,0.52,0.7399,4
46,3,english-french,1,0.04,0.6809,4
46,4,english-french,0,0.52,0.7399,4
46,4,english-french,1,0.04,0.6809,4
5,0,present-past,0,0.84,0.7886,5
5,0,present-past,1,0.88,0.749,5
5,1,present-past,0,0.88,0.7852,5
5,1,present-past,1,0.88,0.7357,5
5,2,present-past,0,0.52,0.8568,5
5,2,present-past,1,0.48,0.8547,5
5,3,present-past,0,0.88,0.8578,5
5,3,present-past,1,0.92,0.8343,5
5,4,present-past,0,0.92,0.6511,5
5,4,present-past,1,0.92,0.606,5
10,0,present-past,0,0.88,0.8396,4
10,0,present-past,1,0.84,0.7918,4
10,1,present-past,0,0.96,0.6808,4
10,1,present-past,1,1.0,0.6486,2
10,2,present-past,0,0.92,0.7608,3
10,2,present-past,1,0.96,0.7173,4
10,3,present-past,0,0.84,0.8634,2
10,3,present-past,1,0.92,0.8231,5
10,4,present-past,0,0.52,0.8884,4
10,4,present-past,1,0.68,0.8568,5
20,0,present-past,0,0.92,0.7886,5
20,0,present-past,1,0.96,0.7333,5
20,1,present-past,0,0.92,0.7593,3
20,1,present-past,1,0.92,0.7297,3
20,2,present-past,0,0.92,0.7584,4
20,2,present-past,1,0.92,0.7168,5
20,3,present-past,0,0.88,0.8485,5
20,3,present-past,1,0.88,0.7831,5
20,4,present-past,0,0.96,0.7409,4
20,4,present-past,1,0.96,0.6986,4
30,0,present-past,0,0.92,0.7468,5
30,0,present-past,1,0.96,0.6849,5
30,1,present-past,0,0.92,0.7612,5
30,1,present-past,1,0.96,0.7391,4
30,2,present-past,0,0.92,0.7985,4
30,2,present-past,1,0.92,0.724,5
30,3,present-past,0,0.92,0.7424,4
30,3,present-past,1,0.96,0.6819,5
30,4,present-past,0,0.96,0.7301,5
30,4,present-past,1,0.96,0.6867,5
40,0,present-past,0,0.96,0.7167,4
40,0,present-past,1,0.96,0.6729,5
40,1,present-past,0,0.92,0.7316,5
40,1,present-past,1,0.96,0.7023,5
40,2,present-past,0,0.92,0.7154,4
40,2,present-past,1,1.0,0.6487,5
40,3,present-past,0,0.92,0.7454,5
40,3,present-past,1,0.96,0.698,5
40,4,present-past,0,0.92,0.7286,5
40,4,present-past,1,0.96,0.6987,5
46,0,present-past,0,0.92,0.7188,5
46,0,present-past,1,0.96,0.6695,5
46,1,present-past,0,0.92,0.7188,5
46,1,present-past,1,0.96,0.6695,5
46,2,present-past,0,0.92,0.7188,5
46,2,present-past,1,0.96,0.6695,5
46,3,present-past,0,0.92,0.7188,5
46,3,present-past,1,0.96,0.6695,5
46,4,present-past,0,0.92,0.7188,5
46,4,present-past,1,0.96,0.6695,5
5,0,next-item,0,0.6,0.8921,5
5,0,next-item,1,0.6,0.8951,5
5,1,next-item,0,0.32,0.6382,5
5,1,next-item,1,0.4,0.6548,5
5,2,next-item,0,0.36,0.852,5
5,2,next-item,1,0.16,0.8855,5
5,3,next-item,0,0.52,0.8752,5
5,3,next-item,1,0.4,0.8779,5
5,4,next-item,0,0.52,0.9194,5
5,4,next-item,1,0.4,0.9174,5
10,0,next-item,0,0.48,0.6875,4
10,0,next-item,1,0.4,0.6902,3
10,1,next-item,0,0.52,0.879,5
10,1,next-item,1,0.64,0.9069,4
10,2,next-item,0,0.52,0.9559,4
10,2,next-item,1,0.56,0.9664,3
10,3,next-item,0,0.32,0.9574,5
10,3,next-item,1,0.24,0.9528,4
10,4,next-item,0,0.52,0.9791,2
10,4,next-item,1,0.6,0.9812,4
20,0,next-item,0,0.4,0.6746,5
20,0,next-item,1,0.48,0.6919,3
20,1,next-item,0,0.64,0.936,4
20,1,next-item,1,0.52,0.9078,5
20,2,next-item,0,0.64,0.9511,3
20,2,next-item,1,0.8,0.9429,4
20,3,next-item,0,0.64,0.8567,5
20,3,next-item,1,0.56,0.8605,5
20,4,next-item,0,0.44,0.6635,4
20,4,next-item,1,0.52,0.6834,2
30,0,next-item,0,0.56,0.9173,3
30,0,next-item,1,0.68,0.9165,4
30,1,next-item,0,0.48,0.6687,5
30,1,next-item,1,0.48,0.6899,3
30,2,next-item,0,0.72,0.934,2
30,2,next-item,1,0.32,0.8811,5
30,3,next-item,0,0.64,0.8798,5
30,3,next-item,1,0.56,0.9038,4
30,4,next-item,0,0.48,0.6712,5
30,4,next-item,1,0.52,0.6948,3
40,0,next-item,0,0.44,0.684,3
40,0,next-item,1,0.4,0.6694,3
40,1,next-item,0,0.44,0.6844,3
40,1,next-item,1,0.36,0.6701,3
40,2,next-item,0,0.48,0.6622,5
40,2,next-item,1,0.36,0.6675,3
40,3,next-item,0,0.44,0.6856,3
40,3,next-item,1,0.36,0.6707,2
40,4,next-item,0,0.44,0.6854,2
40,4,next-item,1,0.52,0.6889,3
46,0,next-item,0,0.48,0.6831,3
46,0,next-item,1,0.36,0.6683,3
46,1,next-item,0,0.44,0.6831,3
46,1,next-item,1,0.36,0.6683,3
46,2,next-item,0,0.44,0.6831,3
46,2,next-item,1,0.36,0.6683,3
46,3,next-item,0,0.44,0.6831,3
46,3,next-item,1,0.36,0.6683,3
46,4,next-item,0,0.44,0.6831,3
46,4,next-item,1,0.36,0.6683,3
5,0,person-sport,0,0.0,0.8844,5
5,0,person-sport,1,0.0,0.8726,5
5,1,person-sport,0,0.0,0.8811,5
5,1,person-sport,1,0.0,0.8711,5
